"id";"origination_date";"balance";"product";"region";"repayment_date"
2133;"2012-01-20";1383;"Super Loan";"North";"2012-05-25"
2134;"2012-10-18";4673;"Super Loan";"South";""
2135;"2012-12-26";2099;"Mega Loan";"North";""
2136;"2012-10-09";6669;"Giga Loan";"West";""
2137;"2012-10-18";1324;"Mega Loan";"South";""
2138;"2012-11-08";5976;"Giga Loan";"West";""
2139;"2012-03-04";6169;"Super Loan";"East";"2012-12-07"
2140;"2012-08-23";9750;"Super Loan";"North";"2012-12-02"
2141;"2012-09-15";6641;"Giga Loan";"East";""
2142;"2012-04-25";9432;"Giga Loan";"North";""
2143;"2012-04-29";9392;"Mega Loan";"North";"2012-11-11"
2144;"2012-11-15";7166;"Mega Loan";"South";""
2145;"2012-10-09";6687;"Mega Loan";"East";""
2146;"2012-11-20";2094;"Super Loan";"East";""
2147;"2012-08-31";3084;"Mega Loan";"North";""
2148;"2012-05-27";8705;"Mega Loan";"North";"2012-10-30"
2149;"2012-06-02";4999;"Super Loan";"East";"2012-07-13"
2150;"2012-07-28";2542;"Giga Loan";"West";""
2151;"2012-04-08";8305;"Super Loan";"East";"2012-07-08"
2152;"2012-04-12";3874;"Giga Loan";"North";""
2153;"2012-04-13";5038;"Mega Loan";"South";""
2154;"2012-09-01";7458;"Mega Loan";"East";"2012-10-26"
2155;"2012-01-21";4644;"Super Loan";"East";""
2156;"2012-03-24";7309;"Super Loan";"North";""
2157;"2012-10-18";4617;"Giga Loan";"West";""
2158;"2012-05-08";2058;"Giga Loan";"West";""
2159;"2012-05-03";8733;"Giga Loan";"West";""
2160;"2012-07-04";4928;"Super Loan";"South";""
2161;"2012-07-29";4023;"Giga Loan";"South";""
2162;"2012-08-02";5629;"Giga Loan";"North";""
2163;"2012-06-13";8384;"Giga Loan";"East";"2012-12-29"
2164;"2012-12-14";4407;"Giga Loan";"West";""
2165;"2012-03-08";9303;"Giga Loan";"North";""
2166;"2012-04-10";9484;"Giga Loan";"South";""
2167;"2012-11-12";1075;"Giga Loan";"West";""
2168;"2012-07-07";9627;"Mega Loan";"West";""
2169;"2012-09-08";5459;"Mega Loan";"West";""
2170;"2012-08-07";6244;"Mega Loan";"East";""
2171;"2012-06-28";9377;"Mega Loan";"East";"2012-11-29"
2172;"2012-07-01";2100;"Giga Loan";"East";""
2173;"2012-05-14";5676;"Mega Loan";"South";"2012-11-26"
2174;"2012-05-27";8768;"Super Loan";"South";""
2175;"2012-01-28";8266;"Mega Loan";"North";"2012-11-30"
2176;"2012-10-24";2363;"Super Loan";"East";""
2177;"2012-04-21";9863;"Mega Loan";"North";""
2178;"2012-11-19";1350;"Giga Loan";"East";"2012-12-21"
2179;"2012-05-21";1067;"Giga Loan";"West";"2012-11-25"
2180;"2012-08-14";4861;"Super Loan";"West";""
2181;"2012-05-12";2893;"Giga Loan";"South";"2012-12-06"
2182;"2012-01-08";8373;"Mega Loan";"East";"2012-03-28"
2183;"2012-06-11";7736;"Giga Loan";"East";""
2184;"2012-05-16";6931;"Mega Loan";"South";""
2185;"2012-09-17";5831;"Mega Loan";"West";""
2186;"2012-11-13";2380;"Giga Loan";"North";""
2187;"2012-10-18";4239;"Super Loan";"West";""
2188;"2012-06-25";9448;"Mega Loan";"North";""
2189;"2012-03-19";3439;"Giga Loan";"North";"2012-11-28"
2190;"2012-11-13";2972;"Super Loan";"North";""
2191;"2012-10-17";4375;"Super Loan";"West";""
2192;"2012-12-06";6462;"Super Loan";"West";""
2193;"2012-01-30";7601;"Giga Loan";"South";"2012-10-30"
2194;"2012-11-05";2759;"Super Loan";"South";""
2195;"2012-08-26";9869;"Mega Loan";"West";""
2196;"2012-01-12";6903;"Giga Loan";"West";""
2197;"2012-05-10";2243;"Giga Loan";"South";""
2198;"2012-03-27";9944;"Mega Loan";"North";"2012-11-05"
2199;"2012-07-30";6530;"Super Loan";"North";"2012-10-31"
2200;"2012-12-04";6703;"Super Loan";"South";""
2201;"2012-07-29";6188;"Giga Loan";"West";"2012-11-29"
2202;"2012-06-27";5906;"Super Loan";"South";"2012-09-04"
2203;"2012-02-28";7803;"Mega Loan";"North";"2012-12-21"
2204;"2012-07-15";1864;"Mega Loan";"West";"2012-09-15"
2205;"2012-11-07";4674;"Giga Loan";"East";"2012-11-29"
2206;"2012-08-28";6069;"Super Loan";"East";""
2207;"2012-02-01";3227;"Super Loan";"East";"2012-08-15"
2208;"2012-09-26";4536;"Giga Loan";"West";""
2209;"2012-05-27";6419;"Giga Loan";"North";"2012-10-01"
2210;"2012-08-16";3295;"Super Loan";"East";""
2211;"2012-01-18";8398;"Mega Loan";"West";"2012-09-01"
2212;"2012-01-23";8312;"Mega Loan";"North";"2012-06-08"
2213;"2012-09-13";1667;"Super Loan";"West";""
2214;"2012-03-14";6134;"Mega Loan";"South";""
2215;"2012-11-24";5243;"Giga Loan";"West";""
2216;"2012-07-24";6498;"Mega Loan";"West";"2012-10-07"
2217;"2012-12-01";7514;"Giga Loan";"West";""
2218;"2012-11-04";8483;"Mega Loan";"North";""
2219;"2012-01-07";5946;"Mega Loan";"North";""
2220;"2012-06-11";9953;"Super Loan";"North";"2012-12-04"
2221;"2012-10-13";1454;"Super Loan";"East";""
2222;"2012-07-05";9322;"Mega Loan";"East";"2012-12-07"
2223;"2012-09-08";6414;"Super Loan";"East";""
2224;"2012-01-11";8055;"Super Loan";"North";""
2225;"2012-10-29";2081;"Giga Loan";"North";"2012-12-09"
2226;"2012-02-21";6283;"Super Loan";"South";"2012-11-21"
2227;"2012-04-21";4958;"Giga Loan";"East";""
2228;"2012-04-10";3324;"Mega Loan";"West";""
2229;"2012-06-29";6227;"Giga Loan";"West";""
2230;"2012-04-11";1487;"Giga Loan";"South";""
2231;"2012-08-06";9027;"Super Loan";"South";"2012-12-07"
2232;"2012-11-11";2415;"Super Loan";"West";""
2233;"2012-11-19";6394;"Mega Loan";"East";""
2234;"2012-08-02";6829;"Giga Loan";"West";""
2235;"2012-02-01";3279;"Super Loan";"West";""
2236;"2012-10-06";1068;"Super Loan";"North";""
2237;"2012-02-17";2897;"Super Loan";"South";"2012-05-13"
2238;"2012-09-24";5507;"Mega Loan";"South";""
2239;"2012-07-07";4605;"Super Loan";"North";""
2240;"2012-11-25";8316;"Super Loan";"North";""
2241;"2012-05-29";7802;"Giga Loan";"North";""
2242;"2012-03-19";3002;"Giga Loan";"East";"2012-10-09"
2243;"2012-03-28";6628;"Giga Loan";"East";""
2244;"2012-09-17";8470;"Giga Loan";"North";"2012-12-03"
2245;"2012-12-17";8137;"Giga Loan";"North";""
2246;"2012-02-13";1870;"Super Loan";"East";"2012-08-10"
2247;"2012-10-28";4968;"Super Loan";"East";"2012-12-30"
2248;"2012-01-26";5650;"Giga Loan";"North";"2012-09-23"
2249;"2012-09-06";9353;"Giga Loan";"South";""
2250;"2012-08-10";9915;"Mega Loan";"West";"2012-11-28"
2251;"2012-09-05";5602;"Mega Loan";"South";""
2252;"2012-08-19";9808;"Giga Loan";"East";""
2253;"2012-08-22";9236;"Giga Loan";"East";"2012-10-08"
2254;"2012-08-13";2016;"Super Loan";"North";""
2255;"2012-02-14";7862;"Giga Loan";"West";"2012-07-28"
2256;"2012-06-30";1316;"Mega Loan";"South";""
2257;"2012-07-22";7300;"Giga Loan";"West";""
2258;"2012-03-28";2820;"Giga Loan";"South";"2012-11-03"
2259;"2012-03-12";3640;"Super Loan";"South";"2012-12-16"
2260;"2012-07-09";3526;"Mega Loan";"North";""
2261;"2012-12-07";3307;"Super Loan";"East";"2012-12-22"
2262;"2012-09-16";2666;"Super Loan";"East";""
2263;"2012-08-12";4941;"Giga Loan";"East";"2012-11-29"
2264;"2012-06-20";8702;"Mega Loan";"North";""
2265;"2012-06-04";8495;"Mega Loan";"South";""
2266;"2012-01-23";7221;"Super Loan";"East";""
2267;"2012-06-12";8770;"Mega Loan";"East";""
2268;"2012-11-26";1392;"Super Loan";"South";""
2269;"2012-01-20";2728;"Super Loan";"North";"2012-07-18"
2270;"2012-03-28";3374;"Super Loan";"West";"2012-05-14"
2271;"2012-01-14";8709;"Giga Loan";"West";"2012-09-28"
2272;"2012-09-12";9531;"Giga Loan";"South";""
2273;"2012-06-10";5377;"Super Loan";"East";"2012-12-18"
2274;"2012-05-19";5336;"Mega Loan";"South";"2012-10-09"
2275;"2012-11-18";8000;"Mega Loan";"West";""
2276;"2012-10-15";3513;"Super Loan";"South";""
2277;"2012-07-14";6207;"Mega Loan";"North";""
2278;"2012-07-29";2968;"Giga Loan";"South";""
2279;"2012-04-09";8164;"Mega Loan";"North";""
2280;"2012-06-09";5559;"Giga Loan";"North";""
2281;"2012-02-13";2882;"Giga Loan";"South";""
2282;"2012-10-17";3766;"Super Loan";"North";""
2283;"2012-03-09";5366;"Mega Loan";"West";"2012-10-02"
2284;"2012-08-24";2117;"Giga Loan";"North";""
2285;"2012-03-20";4783;"Mega Loan";"South";"2012-11-28"
2286;"2012-05-29";3228;"Giga Loan";"West";""
2287;"2012-08-13";2434;"Mega Loan";"West";""
2288;"2012-11-03";2082;"Giga Loan";"South";""
2289;"2012-01-16";5048;"Mega Loan";"West";""
2290;"2012-09-08";5074;"Super Loan";"West";"2012-12-22"
2291;"2012-02-12";4609;"Giga Loan";"North";"2012-07-14"
2292;"2012-09-26";7356;"Super Loan";"East";""
2293;"2012-12-20";6741;"Super Loan";"South";""
2294;"2012-10-16";8550;"Giga Loan";"South";""
2295;"2012-05-09";6058;"Mega Loan";"West";""
2296;"2012-12-06";5236;"Giga Loan";"East";""
2297;"2012-09-23";5771;"Giga Loan";"East";""
2298;"2012-01-11";4828;"Mega Loan";"South";"2012-11-30"
2299;"2012-06-03";5628;"Super Loan";"North";""
2300;"2012-02-25";7499;"Super Loan";"West";""
2301;"2012-07-21";7202;"Super Loan";"South";""
2302;"2012-11-21";4336;"Mega Loan";"East";""
2303;"2012-08-30";7029;"Super Loan";"South";"2012-11-28"
2304;"2012-03-22";2579;"Mega Loan";"East";""
2305;"2012-12-11";8673;"Giga Loan";"North";""
2306;"2012-08-15";5029;"Mega Loan";"West";""
2307;"2012-05-19";5093;"Giga Loan";"East";"2012-08-08"
2308;"2012-09-15";4879;"Mega Loan";"South";""
2309;"2012-09-01";6997;"Giga Loan";"South";""
2310;"2012-08-03";3257;"Giga Loan";"South";""
2311;"2012-09-23";9439;"Mega Loan";"West";""
2312;"2012-06-27";8880;"Mega Loan";"East";""
2313;"2012-03-29";6023;"Super Loan";"North";"2012-08-18"
2314;"2012-05-13";4805;"Super Loan";"North";"2012-10-14"
2315;"2012-03-08";9998;"Giga Loan";"West";""
2316;"2012-04-20";9806;"Giga Loan";"West";"2012-10-25"
2317;"2012-01-27";7033;"Giga Loan";"North";""
2318;"2012-11-26";2431;"Mega Loan";"North";""
2319;"2012-11-30";1888;"Giga Loan";"West";""
2320;"2012-06-07";2081;"Mega Loan";"East";"2012-12-02"
2321;"2012-01-12";6506;"Giga Loan";"North";""
2322;"2012-12-01";5497;"Mega Loan";"North";""
2323;"2012-05-30";8438;"Super Loan";"West";""
2324;"2012-10-04";3247;"Giga Loan";"West";""
2325;"2012-02-14";4047;"Giga Loan";"North";""
2326;"2012-02-05";4495;"Giga Loan";"North";"2012-11-10"
2327;"2012-11-11";7484;"Giga Loan";"South";""
2328;"2012-04-19";8818;"Super Loan";"South";""
2329;"2012-02-04";8323;"Mega Loan";"North";"2012-09-10"
2330;"2012-10-06";3111;"Super Loan";"West";""
2331;"2012-03-05";6317;"Super Loan";"South";""
2332;"2012-01-05";5525;"Super Loan";"West";""
2333;"2012-04-02";6448;"Super Loan";"South";"2012-12-08"
2334;"2012-12-21";3346;"Giga Loan";"South";""
2335;"2012-01-14";7105;"Super Loan";"South";"2012-06-04"
2336;"2012-01-10";5121;"Super Loan";"West";""
2337;"2012-06-15";7375;"Mega Loan";"South";"2012-12-19"
2338;"2012-06-21";2198;"Super Loan";"North";""
2339;"2012-07-24";9000;"Super Loan";"South";""
2340;"2012-12-09";4372;"Giga Loan";"South";""
2341;"2012-07-29";4455;"Mega Loan";"North";""
2342;"2012-07-11";8438;"Giga Loan";"West";""
2343;"2012-08-12";3251;"Mega Loan";"East";"2012-12-06"
2344;"2012-07-16";9479;"Super Loan";"East";""
2345;"2012-06-25";3243;"Mega Loan";"North";""
2346;"2012-12-24";3249;"Super Loan";"East";""
2347;"2012-05-13";9284;"Giga Loan";"East";"2012-12-29"
2348;"2012-11-24";9277;"Mega Loan";"South";""
2349;"2012-11-26";4681;"Mega Loan";"South";""
2350;"2012-10-11";1172;"Giga Loan";"South";"2012-12-26"
2351;"2012-04-10";1357;"Mega Loan";"North";"2012-11-08"
2352;"2012-12-31";1186;"Mega Loan";"North";""
2353;"2012-09-27";5669;"Giga Loan";"West";""
2354;"2012-08-04";8796;"Giga Loan";"East";""
2355;"2012-09-13";3434;"Giga Loan";"North";""
2356;"2012-12-23";8716;"Giga Loan";"East";""
2357;"2012-07-24";3290;"Super Loan";"South";""
2358;"2012-09-15";9918;"Mega Loan";"North";""
2359;"2012-04-28";7534;"Giga Loan";"North";""
2360;"2012-11-17";1613;"Super Loan";"West";""
2361;"2012-07-18";3029;"Super Loan";"East";"2012-12-08"
2362;"2012-06-17";3851;"Super Loan";"North";""
2363;"2012-11-07";6139;"Super Loan";"North";""
2364;"2012-07-10";8477;"Mega Loan";"North";"2012-11-18"
2365;"2012-03-25";6197;"Super Loan";"North";"2012-06-17"
2366;"2012-09-10";3243;"Super Loan";"West";""
2367;"2012-02-07";3597;"Giga Loan";"North";"2012-09-21"
2368;"2012-03-25";3572;"Giga Loan";"West";"2012-11-16"
2369;"2012-03-01";4441;"Giga Loan";"East";""
2370;"2012-02-21";2597;"Giga Loan";"West";"2012-11-18"
2371;"2012-05-07";6944;"Giga Loan";"West";""
2372;"2012-02-19";7897;"Mega Loan";"South";"2012-12-03"
2373;"2012-08-14";1035;"Giga Loan";"West";""
2374;"2012-02-01";9196;"Giga Loan";"East";"2012-12-11"
2375;"2012-02-01";7375;"Giga Loan";"East";"2012-12-19"
2376;"2012-09-29";3278;"Mega Loan";"North";""
2377;"2012-10-27";2445;"Super Loan";"North";""
2378;"2012-07-15";6659;"Super Loan";"North";""
2379;"2012-07-24";2554;"Mega Loan";"North";""
2380;"2012-06-05";6126;"Giga Loan";"North";"2012-11-17"
2381;"2012-05-12";6831;"Giga Loan";"West";""
2382;"2012-04-16";2912;"Giga Loan";"East";""
2383;"2012-10-22";6313;"Mega Loan";"East";""
2384;"2012-04-20";2499;"Super Loan";"North";"2012-12-24"
2385;"2012-05-03";1707;"Giga Loan";"West";""
2386;"2012-10-31";8747;"Mega Loan";"West";""
2387;"2012-07-22";1215;"Mega Loan";"South";"2012-12-26"
2388;"2012-08-04";3998;"Super Loan";"South";""
2389;"2012-10-20";8664;"Mega Loan";"North";""
2390;"2012-02-11";7750;"Mega Loan";"North";"2012-11-24"
2391;"2012-08-20";4612;"Mega Loan";"West";""
2392;"2012-07-06";1692;"Mega Loan";"South";""
2393;"2012-01-22";1600;"Giga Loan";"South";""
2394;"2012-02-17";9751;"Mega Loan";"North";""
2395;"2012-02-09";9170;"Giga Loan";"West";"2012-08-07"
2396;"2012-05-28";6798;"Mega Loan";"West";""
2397;"2012-09-01";2994;"Giga Loan";"East";"2012-11-24"
2398;"2012-12-05";2767;"Mega Loan";"East";""
2399;"2012-03-17";9370;"Mega Loan";"North";""
2400;"2012-06-12";6436;"Super Loan";"West";""
2401;"2012-08-31";4365;"Super Loan";"East";"2012-10-04"
2402;"2012-03-23";6314;"Giga Loan";"North";""
2403;"2012-03-29";4332;"Mega Loan";"West";"2012-11-10"
2404;"2012-05-23";4400;"Mega Loan";"South";""
2405;"2012-06-28";5510;"Mega Loan";"West";"2012-09-29"
2406;"2012-12-05";1707;"Giga Loan";"South";""
2407;"2012-05-11";6679;"Mega Loan";"North";""
2408;"2012-07-31";6955;"Mega Loan";"North";"2012-10-02"
2409;"2012-06-27";7366;"Giga Loan";"West";""
2410;"2012-01-13";8233;"Giga Loan";"East";"2012-08-10"
2411;"2012-04-04";3080;"Mega Loan";"East";""
2412;"2012-01-23";4196;"Giga Loan";"West";"2012-12-06"
2413;"2012-02-16";1145;"Mega Loan";"West";"2012-12-27"
2414;"2012-05-27";8393;"Giga Loan";"North";"2012-08-07"
2415;"2012-03-19";5696;"Mega Loan";"East";"2012-11-18"
2416;"2012-11-16";1853;"Giga Loan";"West";""
2417;"2012-02-16";7140;"Giga Loan";"East";""
2418;"2012-02-06";5912;"Super Loan";"East";""
2419;"2012-11-30";4851;"Mega Loan";"West";""
2420;"2012-05-30";5803;"Mega Loan";"South";"2012-08-24"
2421;"2012-12-28";3661;"Mega Loan";"South";""
2422;"2012-07-11";8464;"Super Loan";"West";""
2423;"2012-10-11";6496;"Giga Loan";"South";""
2424;"2012-10-06";4262;"Giga Loan";"East";""
2425;"2012-10-22";8215;"Giga Loan";"East";"2012-12-17"
2426;"2012-11-09";5666;"Giga Loan";"West";""
2427;"2012-03-25";1060;"Mega Loan";"South";""
2428;"2012-12-28";1208;"Super Loan";"North";""
2429;"2012-11-26";7434;"Mega Loan";"East";""
2430;"2012-09-08";9431;"Mega Loan";"West";""
2431;"2012-03-29";6645;"Mega Loan";"North";""
2432;"2012-12-29";1798;"Mega Loan";"North";""
2433;"2012-08-30";5744;"Mega Loan";"North";""
2434;"2012-09-23";9978;"Mega Loan";"East";""
2435;"2012-07-31";5199;"Giga Loan";"West";""
2436;"2012-12-23";1254;"Giga Loan";"North";""
2437;"2012-06-22";1684;"Giga Loan";"North";""
2438;"2012-12-01";1877;"Super Loan";"East";""
2439;"2012-08-09";7209;"Giga Loan";"South";"2012-11-15"
2440;"2012-07-06";8051;"Mega Loan";"North";""
2441;"2012-06-23";9110;"Mega Loan";"West";"2012-09-01"
2442;"2012-06-23";9290;"Giga Loan";"East";""
2443;"2012-04-15";2246;"Mega Loan";"East";"2012-08-14"
2444;"2012-01-23";9256;"Super Loan";"North";"2012-03-28"
2445;"2012-11-09";7683;"Mega Loan";"South";""
2446;"2012-04-22";6943;"Super Loan";"North";""
2447;"2012-04-23";1108;"Mega Loan";"North";""
2448;"2012-06-17";4822;"Giga Loan";"North";""
2449;"2012-05-24";2855;"Super Loan";"South";"2012-07-04"
2450;"2012-07-18";4960;"Mega Loan";"East";""
2451;"2012-04-29";9626;"Giga Loan";"North";""
2452;"2012-07-17";5517;"Mega Loan";"South";""
2453;"2012-01-10";3423;"Giga Loan";"South";"2012-06-21"
2454;"2012-01-18";6122;"Super Loan";"West";"2012-08-23"
2455;"2012-02-21";8780;"Mega Loan";"East";""
2456;"2012-01-16";1637;"Mega Loan";"North";"2012-08-18"
2457;"2012-12-05";1787;"Super Loan";"West";""
2458;"2012-04-26";8840;"Mega Loan";"North";""
2459;"2012-12-25";1846;"Mega Loan";"East";""
2460;"2012-05-28";8222;"Mega Loan";"South";"2012-11-26"
2461;"2012-02-14";8270;"Giga Loan";"North";"2012-09-29"
2462;"2012-12-08";7491;"Giga Loan";"West";""
2463;"2012-01-06";9020;"Mega Loan";"West";"2012-05-26"
2464;"2012-05-25";4014;"Mega Loan";"South";""
2465;"2012-07-31";7468;"Giga Loan";"South";"2012-12-22"
2466;"2012-05-18";4218;"Mega Loan";"West";"2012-12-09"
2467;"2012-06-18";4268;"Super Loan";"North";"2012-12-15"
2468;"2012-09-13";8153;"Super Loan";"West";""
2469;"2012-05-17";5095;"Mega Loan";"East";"2012-11-03"
2470;"2012-02-12";1477;"Giga Loan";"West";"2012-07-27"
2471;"2012-04-21";6203;"Mega Loan";"East";"2012-05-29"
2472;"2012-02-17";4205;"Super Loan";"South";""
2473;"2012-09-01";9767;"Super Loan";"South";""
2474;"2012-06-12";7450;"Super Loan";"North";""
2475;"2012-10-26";3460;"Giga Loan";"West";""
2476;"2012-06-28";7450;"Mega Loan";"East";""
2477;"2012-07-24";4392;"Giga Loan";"East";""
2478;"2012-05-13";3569;"Super Loan";"East";""
2479;"2012-10-25";2271;"Super Loan";"West";""
2480;"2012-12-23";6248;"Mega Loan";"East";""
2481;"2012-09-13";7529;"Super Loan";"West";""
2482;"2012-04-19";1897;"Giga Loan";"North";""
2483;"2012-04-08";1764;"Super Loan";"North";"2012-12-31"
2484;"2012-08-25";9953;"Giga Loan";"South";""
2485;"2012-09-29";7019;"Super Loan";"East";""
2486;"2012-02-28";9544;"Giga Loan";"South";""
2487;"2012-11-30";1590;"Mega Loan";"North";""
2488;"2012-04-12";7807;"Super Loan";"East";""
2489;"2012-09-22";8383;"Super Loan";"West";""
2490;"2012-03-26";2436;"Mega Loan";"South";"2012-08-25"
2491;"2012-07-28";6028;"Super Loan";"East";""
2492;"2012-06-24";6653;"Super Loan";"East";""
2493;"2012-02-22";8927;"Giga Loan";"West";"2012-11-12"
2494;"2012-09-15";5048;"Super Loan";"East";"2012-12-27"
2495;"2012-08-07";9667;"Super Loan";"East";""
2496;"2012-05-09";6395;"Mega Loan";"South";""
2497;"2012-01-14";8266;"Giga Loan";"South";"2012-08-30"
2498;"2012-06-18";3935;"Mega Loan";"West";""
2499;"2012-08-25";4547;"Mega Loan";"South";""
2500;"2012-12-11";3361;"Giga Loan";"East";""
2501;"2012-11-15";4412;"Giga Loan";"North";""
2502;"2012-06-10";9750;"Giga Loan";"East";"2012-11-18"
2503;"2012-05-20";6567;"Super Loan";"North";""
2504;"2012-05-15";4179;"Mega Loan";"West";""
2505;"2012-06-11";7199;"Super Loan";"South";""
2506;"2012-08-26";9028;"Mega Loan";"North";""
2507;"2012-04-27";1628;"Giga Loan";"East";""
2508;"2012-02-24";1591;"Super Loan";"East";""
2509;"2012-12-21";2596;"Giga Loan";"South";""
2510;"2012-06-02";2899;"Mega Loan";"East";"2012-10-01"
2511;"2012-07-14";6839;"Giga Loan";"West";"2012-11-22"
2512;"2012-11-15";9126;"Super Loan";"West";""
2513;"2012-06-03";3797;"Mega Loan";"West";""
2514;"2012-11-13";7604;"Giga Loan";"North";""
2515;"2012-06-12";9078;"Giga Loan";"West";"2012-11-23"
2516;"2012-06-18";9816;"Super Loan";"East";""
2517;"2012-11-29";7147;"Mega Loan";"West";""
2518;"2012-02-09";9668;"Mega Loan";"North";"2012-05-14"
2519;"2012-08-15";7623;"Mega Loan";"North";""
2520;"2012-05-27";5530;"Super Loan";"North";""
2521;"2012-01-28";2103;"Giga Loan";"North";""
2522;"2012-01-29";3650;"Giga Loan";"South";"2012-06-09"
2523;"2012-03-09";2182;"Super Loan";"West";""
2524;"2012-11-08";1030;"Super Loan";"North";""
2525;"2012-01-28";7698;"Giga Loan";"North";""
2526;"2012-09-23";1849;"Mega Loan";"South";"2012-11-22"
2527;"2012-01-16";6426;"Giga Loan";"West";"2012-08-13"
2528;"2012-03-04";5964;"Mega Loan";"West";""
2529;"2012-12-07";4784;"Giga Loan";"South";""
2530;"2012-07-12";9973;"Mega Loan";"West";""
2531;"2012-11-06";8326;"Giga Loan";"East";""
2532;"2012-09-12";8197;"Giga Loan";"West";""
2533;"2012-11-22";9723;"Mega Loan";"South";""
2534;"2012-01-20";4892;"Super Loan";"West";"2012-07-15"
2535;"2012-04-11";2375;"Giga Loan";"West";""
2536;"2012-07-28";6922;"Mega Loan";"East";"2012-09-20"
2537;"2012-07-04";3919;"Mega Loan";"East";""
2538;"2012-09-28";3003;"Super Loan";"South";"2012-12-02"
2539;"2012-11-14";7513;"Giga Loan";"West";""
2540;"2012-11-06";5515;"Giga Loan";"North";""
2541;"2012-11-12";4903;"Super Loan";"East";""
2542;"2012-07-20";4352;"Super Loan";"West";"2012-12-15"
2543;"2012-03-05";4641;"Mega Loan";"East";"2012-10-08"
2544;"2012-05-13";7700;"Mega Loan";"East";""
2545;"2012-10-03";1955;"Giga Loan";"East";""
2546;"2012-06-26";3718;"Mega Loan";"East";""
2547;"2012-11-17";7516;"Super Loan";"North";""
2548;"2012-05-12";8103;"Giga Loan";"South";"2012-11-08"
2549;"2012-12-25";3386;"Super Loan";"South";""
2550;"2012-04-13";5138;"Mega Loan";"East";""
2551;"2012-11-11";3633;"Mega Loan";"North";""
2552;"2012-08-09";4489;"Mega Loan";"West";"2012-10-01"
2553;"2012-07-02";7789;"Mega Loan";"East";"2012-09-03"
2554;"2012-01-23";4816;"Mega Loan";"North";""
2555;"2012-12-09";4520;"Super Loan";"East";""
2556;"2012-04-25";5487;"Super Loan";"South";""
2557;"2012-06-25";5665;"Giga Loan";"North";""
2558;"2012-09-15";9947;"Mega Loan";"East";""
2559;"2012-08-01";1451;"Giga Loan";"West";""
2560;"2012-10-06";9450;"Giga Loan";"West";""
2561;"2012-12-16";9919;"Mega Loan";"South";""
2562;"2012-12-09";8777;"Super Loan";"South";""
2563;"2012-06-05";7646;"Giga Loan";"West";""
2564;"2012-08-09";9642;"Giga Loan";"East";""
2565;"2012-09-16";3668;"Giga Loan";"South";""
2566;"2012-08-31";9021;"Giga Loan";"North";""
2567;"2012-09-27";6563;"Super Loan";"North";""
2568;"2012-12-09";6587;"Super Loan";"North";""
2569;"2012-08-14";2023;"Mega Loan";"West";"2012-12-31"
2570;"2012-08-12";4076;"Super Loan";"North";"2012-10-30"
2571;"2012-11-26";2102;"Giga Loan";"South";""
2572;"2012-05-12";5927;"Giga Loan";"South";""
2573;"2012-10-15";7429;"Mega Loan";"East";""
2574;"2012-01-15";5744;"Mega Loan";"East";""
2575;"2012-02-18";3626;"Super Loan";"East";"2012-10-29"
2576;"2012-09-15";8385;"Giga Loan";"North";""
2577;"2012-01-18";8462;"Mega Loan";"West";"2012-08-30"
2578;"2012-12-03";1141;"Super Loan";"South";""
2579;"2012-12-11";6487;"Mega Loan";"West";""
2580;"2012-11-18";1847;"Super Loan";"West";""
2581;"2012-06-01";5280;"Giga Loan";"East";""
2582;"2012-03-23";9120;"Mega Loan";"North";""
2583;"2012-10-26";5337;"Super Loan";"North";""
2584;"2012-05-24";3068;"Mega Loan";"West";""
2585;"2012-02-28";3935;"Giga Loan";"South";""
2586;"2012-12-28";8858;"Super Loan";"South";""
2587;"2012-12-07";7556;"Super Loan";"West";""
2588;"2012-06-11";8601;"Super Loan";"West";""
2589;"2012-06-01";8804;"Mega Loan";"East";""
2590;"2012-02-03";8007;"Giga Loan";"West";"2012-08-02"
2591;"2012-04-12";8050;"Mega Loan";"North";"2012-11-08"
2592;"2012-08-19";8723;"Mega Loan";"North";"2012-10-01"
2593;"2012-06-10";6783;"Mega Loan";"West";""
2594;"2012-10-18";5696;"Super Loan";"East";""
2595;"2012-02-01";8364;"Giga Loan";"West";""
2596;"2012-01-15";9452;"Mega Loan";"West";"2012-07-07"
2597;"2012-03-23";4716;"Giga Loan";"South";""
2598;"2012-08-26";4927;"Giga Loan";"North";""
2599;"2012-06-03";6039;"Super Loan";"East";""
2600;"2012-06-24";5740;"Super Loan";"West";""
2601;"2012-01-20";8004;"Super Loan";"South";"2012-06-30"
2602;"2012-08-20";7141;"Super Loan";"East";""
2603;"2012-10-26";1667;"Mega Loan";"South";""
2604;"2012-09-14";5432;"Super Loan";"East";""
2605;"2012-07-22";2885;"Giga Loan";"West";""
2606;"2012-10-11";4293;"Super Loan";"North";""
2607;"2012-08-03";3817;"Giga Loan";"South";"2012-10-03"
2608;"2012-02-28";1346;"Mega Loan";"North";""
2609;"2012-12-18";4435;"Giga Loan";"North";"2012-12-31"
2610;"2012-06-01";9304;"Mega Loan";"West";""
2611;"2012-08-19";2194;"Mega Loan";"North";""
2612;"2012-07-17";8716;"Super Loan";"South";"2012-12-07"
2613;"2012-09-17";8424;"Super Loan";"East";""
2614;"2012-11-24";6532;"Mega Loan";"East";""
2615;"2012-03-28";1784;"Giga Loan";"South";""
2616;"2012-09-16";2358;"Super Loan";"North";""
